ID	LIST2018.1	LIST2018.2	VMA6.1	VMA6.2	D3_15.1	D3_15.2	L1_36.1	L1_36.2	R4_33.1	R4_33.2	R1_75.1	R1_75.2	R4_26.1	R4_26.2	R4_100.1	R4_100.2	R1_80.1	R1_80.2	LIST2020.1	LIST2020.2	R1_169.1	R1_169.2	VMA8.1	VMA8.2	LIST2015.1	LIST2015.2	R4_114.1	R4_114.2	D2_185.1	D2_185.2
2023_2825_AF1	109	109	240	242	166	156	100	100	204	208	152	152	248	250	175	175	110	110	187	193	162	162	264	264	174	182	138	138	206	212
2023_2826_AF1_combined	109	117	242	242	162	162	100	100	204	208	152	152	250	250	175	175	110	110	193	193	162	156	264	264	174	182	128	128	206	212
2023_2994_T2	134	117	240	240	162	166	100	110	204	208	148	140	248	248	175	179	110	110	187	187	156	156	248	264	174	182	138	138	206	212
2023_2998_F3	109	117	240	240	162	162	100	100	204	208	148	140	248	248	175	179	110	108	193	193	156	156	248	264	174	176	128	138	206	212
2023_2999_AF1	117	117	240	240	162	156	100	110	204	204	148	140	248	250	175	175	110	110	187	187	162	162	248	248	176	182	138	134	206	212
2023_3019_AF2_combined	117	117	240	240	162	162	100	110	204	208	152	140	248	248	000	000	110	110	187	187	156	156	264	264	174	182	128	138	206	206
2023_3020_AF1	109	109	240	240	162	156	100	100	204	208	152	152	250	250	175	175	110	110	187	187	162	156	248	264	174	182	138	134	206	206
2023_3095_AF3	109	134	242	242	162	156	110	110	208	208	148	152	248	248	179	179	110	110	187	187	162	156	248	264	174	176	128	138	206	206
2023_3193_T2	134	134	240	242	162	156	100	100	204	208	148	152	248	250	175	175	110	108	187	193	156	156	248	264	176	182	138	138	206	206
2023_3276_AF1	117	117	240	240	156	156	100	100	204	208	148	152	250	250	000	000	110	110	187	187	162	156	248	248	174	174	138	138	206	206
2023_3423_AF	109	117	240	242	162	156	100	100	204	208	148	152	248	250	175	179	110	110	187	187	162	156	248	264	174	182	128	138	206	206
2023_3689_AF2	134	117	240	240	162	166	100	100	208	208	152	152	250	250	175	175	110	110	187	193	156	156	264	264	176	182	138	138	206	206
2023_3690_AF1	109	117	240	242	162	162	100	100	204	204	148	152	248	250	179	179	110	110	187	193	162	156	248	264	174	176	138	138	206	206
2023_3706_AF6	109	117	240	240	162	156	100	110	204	204	140	140	248	248	175	175	110	108	187	193	162	156	248	264	174	176	128	128	206	212
2023_3876_AF3	109	109	240	242	166	156	100	110	204	204	152	152	248	248	175	179	110	110	187	193	162	156	264	264	174	182	138	138	206	206
2023_3910_AF9_combined	109	117	000	000	162	162	100	110	204	204	148	148	248	250	175	175	110	110	187	187	162	156	264	264	176	176	128	128	000	000
2023_3939_T4	109	134	240	240	162	166	110	110	204	204	148	152	248	248	175	175	110	110	187	193	162	156	248	264	174	176	138	138	206	206
AH012_combined	109	109	240	242	162	162	100	110	204	208	148	148	248	248	175	175	110	110	187	193	156	156	264	264	174	182	138	138	206	206
AH_2024_004248_AF05	134	117	240	242	156	156	100	100	204	204	148	140	248	248	175	179	110	110	187	193	156	156	264	264	174	174	138	138	206	206
AH_2024_1295_AF08	109	109	240	242	162	162	100	110	204	208	152	140	248	248	175	179	110	110	187	187	156	156	264	264	174	174	138	138	206	206
AH_2024_2184_AF01	109	117	242	242	156	156	100	100	204	208	148	140	248	250	175	175	110	108	187	187	156	156	248	264	174	182	138	138	206	206
AH_2024_2196_AF01	109	109	240	240	162	162	100	110	204	208	148	148	248	248	175	175	110	110	187	187	162	156	248	264	176	182	138	134	206	212
AH_2024_2199_AF03	134	134	240	240	162	156	100	110	204	208	152	152	248	248	175	175	110	108	187	187	156	156	248	264	182	182	138	134	206	212
AH_2024_2373_AF03	109	109	240	242	162	162	100	110	204	204	152	152	248	248	175	179	110	108	193	185	162	162	264	264	174	182	128	138	206	212
AH_2024_2377_AF04	109	134	240	242	162	156	100	100	204	204	152	152	248	248	179	179	110	110	187	187	162	156	264	264	174	182	128	138	206	206
AH_2024_2699_AF02	109	134	242	242	166	156	100	110	204	208	148	152	248	248	000	000	110	110	187	187	156	156	264	264	176	182	138	138	206	206
AH_2024_2759	109	117	240	240	162	162	100	100	204	208	152	152	248	250	000	000	110	108	187	187	162	156	248	264	174	182	138	134	206	212
AH_2024_2803_AF06	134	134	240	242	162	166	100	100	204	208	152	152	248	250	179	179	108	108	187	187	156	156	248	248	176	182	138	134	206	206
AH_2024_2817_AF08	109	109	240	240	162	162	110	110	204	204	140	140	248	248	175	179	108	108	187	193	162	156	264	264	176	176	138	138	206	206
AH_2024_2818_AF05	109	134	240	242	162	162	100	110	204	208	148	152	248	250	175	179	110	110	187	193	162	156	264	264	174	174	138	134	206	212
AH_2024_3574_AF04	109	109	240	242	162	162	100	110	204	208	148	140	248	250	175	175	110	110	187	193	162	162	248	248	174	174	128	138	206	206
AH_2024_3576_AF01	109	117	240	240	162	166	100	100	208	208	152	140	248	248	175	175	110	108	187	187	162	156	248	264	176	176	138	134	206	206
AH_2024_3838_AF01	109	117	240	242	162	156	100	100	208	208	152	152	248	248	175	179	110	108	187	187	162	162	248	248	174	176	138	138	206	206
AsAd35_combined	134	134	240	242	156	156	100	100	204	208	152	152	248	250	175	175	110	110	187	193	156	156	248	264	176	182	128	128	206	212
Dray_TA6_combined	117	117	240	242	162	166	100	100	204	204	152	140	248	250	175	175	110	110	187	187	162	156	264	264	176	182	128	138	206	206
FOW2_TA2_combined	109	117	240	242	162	166	100	100	204	208	152	152	248	248	175	179	110	110	187	187	156	156	248	264	174	182	000	000	206	206
FOWTA1_2023_Extract_combined	109	134	240	242	162	166	100	100	204	208	152	152	248	248	175	175	110	110	187	187	000	000	248	264	174	182	138	138	206	206
Ham1_TA5_combined	109	134	240	240	156	156	100	100	204	208	148	152	248	250	175	175	110	108	187	187	156	156	264	264	176	182	138	138	206	212
HAM2_TA9_combined	109	134	240	240	166	156	100	100	204	204	152	152	248	248	175	179	110	108	187	187	162	156	264	264	174	174	138	138	206	206
Ray_AdF77_combined	134	134	240	242	162	162	110	110	208	208	148	148	248	250	175	175	110	108	187	187	162	162	264	264	174	176	138	138	206	212
SE1912495_L6_combined	109	109	240	242	162	156	100	100	204	204	152	152	248	250	175	175	110	110	193	193	162	162	248	264	174	176	128	134	206	212
SE192506_TA6_combined	109	117	240	242	162	156	100	100	204	204	148	152	248	248	175	175	110	108	187	193	162	162	248	264	174	176	128	134	206	212
SE20_2833AD16_combined	109	117	240	240	156	156	100	100	204	208	152	140	248	250	175	175	110	108	187	193	156	156	248	248	174	182	138	138	206	206
WVU3_2023_Extract_combined	109	117	240	242	162	156	100	100	204	208	152	152	248	250	175	175	110	110	187	187	162	156	248	264	174	174	128	138	206	206

